SlNo,Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating,Industry
55,Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
56,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
57,Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
58,Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
59,Ahaglow Acne Control Moisturizing Gel 50gm,Acne,ÿtreat acne vulgarisÿ,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
60,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,ÿtreat acne vulgarisÿ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
61,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,ÿtreat mild to moderate acne(spots),Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
62,Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
63,Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
64,ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
65,Alene Gel 15gm,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
66,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
67,Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
68,Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
69,Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
70,Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
71,Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
72,Alonurish Anti Acne Foaming Face Wash 60ml,Acne,ÿtreat acne vulgarisÿ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
73,Amypure Tablet 90'SAmypure Tablet 100'S,Acne,ÿtreat acne vulgarisÿ,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
74,AP Gel 10gm,Acne,ÿtreat mild to moderate acne(spots),Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
75,Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
76,Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
77,Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
78,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
79,Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
80,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
81,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
82,Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
83,Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
84,Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
85,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,ÿtreat acne vulgarisÿ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
86,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,ÿtreat acne vulgarisÿ,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
87,Bengel AC 2.5% Gel 30gm,Acne,ÿtreat mild to moderate acne(spots),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
88,Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
89,Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
90,Benzac AC 5% Gel 20gm,Acne,"ÿgives smooth, soft, supple and fresh feeling to the skin",Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
91,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
92,Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
93,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
94,Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
95,Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
96,Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
97,Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
98,Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
99,Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
100,Calosoft Plus Cream 30gm,Acne,ÿtreat acne vulgarisÿ,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
101,Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,ÿtreat acne vulgarisÿ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
102,Canvaz Gel(Topical) 15gm,Acne,ÿtreat mild to moderate acne(spots),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
103,Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
104,Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
105,Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
106,Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
107,Clearliv Capsule 60'S,Acne,"ÿgives smooth, soft, supple and fresh feeling to the skin",Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
108,CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
109,CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
110,Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
111,Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
112,Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
113,Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
114,Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
115,Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
116,Cligel A Gel 15gm,Acne,ÿtreat acne vulgarisÿ,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
117,Cligel T Gel 15gm,Acne,ÿtreat acne vulgarisÿ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
118,Climple 1% Gel 15gm,Acne,ÿtreat mild to moderate acne(spots),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
119,Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
120,Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
121,Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
122,Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
123,Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
124,Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
125,Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
126,Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
127,Clincin Gel 20gmCLINCIN Gel 10gm,Acne,ÿtreat acne vulgarisÿ,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs
128,Clincin N GE Gel 20gm,Acne,ÿtreat acne vulgarisÿ,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs
129,Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,ÿtreat mild to moderate acne(spots),Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs
130,Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs
131,Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs
132,Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"ÿgives smooth, soft, supple and fresh feeling to the skin",Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs
133,Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs
134,Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs
135,Clindapene Gel 15gm,Acne,Mild to moderate acne (spots),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs
136,Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
137,Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
138,Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
139,Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
140,Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
141,Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne)ÿ,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
142,CLINKRICK Gel 10gm,Acne,ÿtreat acne vulgarisÿ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs
143,Clinlup 1% Gel 10gm,Acne,ÿtreat acne vulgarisÿ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs
144,Clinmax A Gel 30gmClinmax Gel 20gm,Acne,ÿtreat mild to moderate acne(spots),Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs
145,Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs
146,Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs
147,Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs
148,Clinxa Gel 20gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs
